Tot_ED_NmbVsts,EDStations,Visits_Per_Station,LICENSED_BED_SIZE,Category,HospitalOwnership,UrbanRuralDesi,TEACHINGDesignation,PrimaryCareShortageArea,MentalHealthShortageArea,Overburdened,Overburden_Prob
53749.666666666664,36.0,1493.045881561329,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.39020152066018055
4135.333333333333,8.0,516.916020521641,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.11333333333333333
24221.0,24.0,1009.2079128300363,200-299,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,No,0,0.0
17550.0,17.5,1002.8565697962458,200-299,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.043333333333333335
109291.5,72.0,1517.9372891753765,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
26386.333333333332,14.0,1884.7367489975602,50-99,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,1,0.9433333333333334
69937.5,69.0,1013.5868096251,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.016666666666666666
112998.5,62.0,1822.5561576522325,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,1,0.82
3495.0,3.0,1164.996116679611,1-49,Active COVID-19,Government,Frontier,Non-Teaching,Yes,Yes,0,0.0
2546.6666666666665,2.0,1273.3269666984997,1-49,Active COVID-19,Government,Frontier,Non-Teaching,Yes,Yes,0,0.0
44698.666666666664,30.0,1489.9550589038693,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,Yes,0,0.04666666666666667
54417.5,28.0,1943.4814487566255,300-499,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,Yes,1,0.9566666666666667
39938.5,29.0,1377.189180279593,300-499,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,Yes,0,0.02666666666666667
45627.5,12.0,3802.2884980929184,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,Yes,1,0.9633333333333334
7767.0,7.0,1109.5698434716523,1-49,Active COVID-19,Government,Rural,Non-Teaching,Yes,Yes,0,0.0
45660.666666666664,41.0,1113.6745251200343,150-199,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,Yes,0,0.03333333333333333
37046.333333333336,28.0,1323.0828608037402,50-99,Active COVID-19,Government,Urban,Non-Teaching,No,Yes,0,0.043333333333333335
15067.333333333334,12.0,1255.6100647693906,50-99,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,No,0,0.023333333333333334
54291.666666666664,41.0,1324.1866688975604,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,0,0.0
47474.5,26.0,1825.9416054070748,50-99,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,1,0.8633333333333333
90694.33333333333,53.0,1711.213513607513,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,Yes,0,0.03666666666666667
35054.666666666664,21.0,1669.2690463798192,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.08
47299.5,58.5,808.5383233267823,100-149,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,0,0.006666666666666667
95381.5,59.0,1616.6353192143526,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.005321417932677986
63503.666666666664,70.0,907.1951084959368,500+,Active COVID-19,Government,Urban,Teaching,No,No,0,0.0
84523.33333333333,51.333333333333336,1646.5581208003657,500+,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.002490670249290939
106119.0,53.0,2002.2449052368102,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,1,0.2771084816198576
21385.333333333332,18.0,1188.0734140332884,50-99,Active COVID-19,Government,Rural,Non-Teaching,Yes,No,0,0.01
11297.666666666666,7.0,1613.9500753094162,1-49,Active COVID-19,Government,Rural,Non-Teaching,Yes,Yes,0,0.0
33224.0,15.0,2214.9318567120954,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,1,0.7966666666666666
22289.0,12.0,1857.4151188207343,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,Yes,1,0.9633333333333334
112998.5,80.5,1403.7079001605093,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,Yes,No,0,0.0
40403.0,40.0,1010.074747481313,300-499,Active COVID-19,Nonprofit,Urban,Teaching,No,No,0,0.01321720918385787
8291.666666666666,6.0,1381.9421412075424,1-49,Active COVID-19,Government,Rural,Non-Teaching,Yes,Yes,0,0.0
75626.66666666667,52.0,1454.35869467461,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,0,0.0033333333333333335
53317.333333333336,18.0,2962.0724284782805,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,1,0.97
62192.333333333336,43.0,1446.3329969768224,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,0,0.0
30790.0,16.0,1924.3737972663766,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,Yes,1,0.8933333333333333
22806.333333333332,15.333333333333334,1487.3685951943944,150-199,Active COVID-19,Investor Owned,Rural,Non-Teaching,Yes,Yes,0,0.0033333333333333335
35471.0,20.333333333333332,1744.4745518977616,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,Yes,1,0.8966666666666666
57942.0,47.0,1232.8082483386704,300-499,Active COVID-19,Government,Urban,Teaching,Yes,No,0,0.0
25407.666666666668,16.0,1587.9781741803079,1-49,Active COVID-19,Investor Owned,Rural,Non-Teaching,Yes,Yes,0,0.0
23200.666666666668,15.0,1546.710079971058,50-99,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,0,0.12666666666666668
79146.5,63.0,1256.2934513819919,500+,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
86469.0,80.5,1074.148934888331,500+,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,0,0.0033333333333333335
112241.5,80.5,1394.3041746205993,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
96961.66666666667,77.33333333333333,1253.8144930412295,300-499,Active COVID-19,Nonprofit,Urban,Teaching,No,No,0,0.0
17293.0,20.0,864.6495676752162,200-299,Active COVID-19,Investor Owned,Urban,Non-Teaching,Yes,Yes,0,0.016666666666666666
37200.666666666664,47.0,791.5033776943167,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.04703390976115877
39953.666666666664,40.0,998.8414169563123,300-499,Active COVID-19,Government,Urban,Non-Teaching,No,No,0,0.006666666666666667
60332.5,80.5,749.4719565873346,300-499,Active COVID-19,Government,Urban,Teaching,No,No,0,0.0
63761.0,48.0,1328.3538899262728,300-499,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.04703390976115877
26922.5,8.0,3365.3082933646333,200-299,Active COVID-19,Government,Urban,Non-Teaching,No,No,1,0.9033333333333333
44178.666666666664,38.0,1162.5961852817054,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.02666666666666667
77978.0,72.0,1083.027627357274,200-299,Active COVID-19,Government,Urban,Non-Teaching,No,Yes,0,0.006666666666666667
31841.333333333332,28.666666666666668,1110.7437985777447,200-299,Active COVID-19,Nonprofit,Urban,Teaching,No,No,0,0.21
10480.666666666666,12.0,873.3881610654213,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.11666666666666667
43609.0,59.0,739.135467943141,300-499,Active COVID-19,Government,Urban,Teaching,No,No,0,0.0
20186.666666666668,19.0,1062.4555811637292,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.04285104019821436
11045.666666666666,12.0,920.4714551626762,200-299,Active COVID-19,Nonprofit,Urban,Teaching,No,No,0,0.08333333333333333
26493.666666666668,35.0,756.9616884871366,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,0,0.0033333333333333335
17995.0,16.0,1124.686797070752,100-149,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.21285104019821438
49033.666666666664,28.0,1751.2017555231826,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,1,0.99
41087.333333333336,25.333333333333332,1621.8677808416658,150-199,Active COVID-19,Government,Urban,Non-Teaching,Yes,Yes,0,0.12333333333333334
29388.666666666668,14.0,2099.1889767697785,50-99,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,1,0.9433333333333334
25987.0,11.0,2362.4523977705476,50-99,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,Yes,1,0.9766666666666667
103851.33333333333,46.666666666666664,2225.385237417449,50-99,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,Yes,1,0.9233333333333333
25632.666666666668,18.0,1424.0362459057894,50-99,Active COVID-19,Nonprofit,Rural,Non-Teaching,No,Yes,0,0.06
20801.333333333332,22.0,945.5147217357325,50-99,Active COVID-19,Nonprofit,Rural,Non-Teaching,No,Yes,0,0.056666666666666664
19784.666666666668,11.0,1798.6044255111285,150-199,Active COVID-19,Investor Owned,Rural,Non-Teaching,No,Yes,1,0.8733333333333333
27192.666666666668,23.0,1182.2893410336198,100-149,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.07
33189.666666666664,15.0,2212.6429693491314,150-199,Active COVID-19,Government,Urban,Non-Teaching,No,No,1,0.8666666666666667
39927.666666666664,19.0,2101.4550343219116,100-149,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,1,0.5720448498577841
13136.0,22.0,597.0906376860738,300-499,Active COVID-19,Investor Owned,Urban,Non-Teaching,No,No,0,0.07666666666666666
1620.0,7.0,231.42824081679885,100-149,Active COVID-19,Investor Owned,Rural,Non-Teaching,No,No,0,0.0033333333333333335
41904.5,26.0,1611.7109185727236,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.0
14532.0,17.0,854.8230265746903,200-299,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.17666666666666667
32738.0,24.0,1364.0827649655146,150-199,Active COVID-19,Nonprofit,Urban,Non-Teaching,No,No,0,0.24
